code,label,level,system
A00-B99,Infectious and parasitic diseases,chapter,icd10
C00-D48,Neoplasms,chapter,icd10
D50-D89,Diseases of the blood and blood-forming organs,chapter,icd10
E00-E90,Endocrine nutritional and metabolic diseases,chapter,icd10
F00-F99,Mental and behavioural disorders,chapter,icd10
G00-G99,Diseases of the nervous system,chapter,icd10
H00-H59,Diseases of the eye and adnexa,chapter,icd10
H60-H95,Diseases of the ear and mastoid process,chapter,icd10
I00-I99,Diseases of the circulatory system,chapter,icd10
J00-J99,Diseases of the respiratory system,chapter,icd10
K00-K93,Diseases of the digestive system,chapter,icd10
L00-L99,Diseases of the skin and subcutaneous tissue,chapter,icd10
M00-M99,Diseases of the musculoskeletal system,chapter,icd10
N00-N99,Diseases of the genitourinary system,chapter,icd10
O00-O99,Pregnancy childbirth and the puerperium,chapter,icd10
P00-P96,Conditions originating in the perinatal period,chapter,icd10
Q00-Q99,Congenital malformations and chromosomal abnormalities,chapter,icd10
R00-R99,Symptoms signs and abnormal clinical findings,chapter,icd10
S00-T98,Injury poisoning and external causes,chapter,icd10
V01-Y98,External causes of morbidity and mortality,chapter,icd10
Z00-Z99,Factors influencing health status and contact with health services,chapter,icd10
